faceoffWinPct,gamesPlayed,goalsAgainst,goalsAgainstPerGame,goalsFor,goalsForPerGame,losses,otLosses,penaltyKillNetPct,penaltyKillPct,pointPct,points,powerPlayNetPct,powerPlayPct,regulationAndOtWins,seasonId,shotsAgainstPerGame,shotsForPerGame,teamFullName,teamId,teamShutouts,ties,wins,winsInRegulation,winsInShootout
0.493291,82,190,2.31707,275,3.35365,22,4,0.81407,0.79397,0.70731,116,0.270642,0.28899,54,20242025,27.18292,28.21951,Winnipeg Jets,52,10,,56,43,2
0.501848,82,229,2.79268,286,3.4878,22,9,0.853556,0.820084,0.67682,111,0.203619,0.235294,49,20242025,27.18292,27.62195,Washington Capitals,15,3,,51,43,2
0.504107,82,214,2.60975,274,3.34146,22,10,0.792899,0.757397,0.67073,110,0.267379,0.283422,49,20242025,26.10975,30.26829,Vegas Golden Knights,54,6,,50,46,1
0.537442,82,229,2.79268,267,3.25609,26,4,0.804255,0.778724,0.65853,108,0.215596,0.247706,51,20242025,29.32926,28.01219,Toronto Maple Leafs,10,5,,52,41,1
0.521353,82,222,2.70731,275,3.35365,26,6,0.855263,0.820176,0.64634,106,0.204,0.22,48,20242025,29.04878,28.35365,Dallas Stars,25,4,,50,41,2
0.506218,82,203,2.4756,249,3.03658,25,9,0.831223,0.814346,0.64024,105,0.149758,0.178743,47,20242025,25.5,28.08536,Los Angeles Kings,26,6,,48,43,1
0.470775,82,231,2.81707,273,3.32926,29,4,0.822115,0.798077,0.62195,102,0.217948,0.247863,45,20242025,25.92682,29.89024,Colorado Avalanche,21,5,,49,40,4
0.500841,82,216,2.63414,292,3.56097,27,8,0.868932,0.815534,0.62195,102,0.202586,0.25862,45,20242025,28.18292,28.54878,Tampa Bay Lightning,14,7,,47,41,2
0.509074,82,235,2.86585,259,3.15853,29,5,0.805825,0.781554,0.61585,101,0.218604,0.237209,48,20242025,26.96341,31.9756,Edmonton Oilers,22,4,,48,36,0
0.527134,82,230,2.80487,266,3.2439,30,5,0.877049,0.836066,0.60365,99,0.166666,0.186991,47,20242025,24.92682,31.68292,Carolina Hurricanes,12,5,,47,42,0
0.493886,82,223,2.71951,246,3.0,31,4,0.856557,0.807378,0.59756,98,0.193277,0.235294,41,20242025,26.19512,31.57317,Florida Panthers,13,8,,47,37,6
0.530777,82,232,2.82926,242,2.95121,30,7,0.816593,0.777293,0.59146,97,0.226765,0.237918,44,20242025,28.60975,29.30487,Ottawa Senators,9,10,,45,35,1
0.46701,82,236,2.87804,225,2.7439,30,7,0.743842,0.724138,0.59146,97,0.18932,0.208737,42,20242025,29.60975,27.59756,Minnesota Wild,30,6,,45,33,3
0.515607,82,231,2.81707,250,3.04878,30,8,0.763157,0.742106,0.58536,96,0.194871,0.220512,40,20242025,27.26829,26.65853,St. Louis Blues,19,4,,44,32,4
0.462442,82,236,2.87804,220,2.68292,27,14,0.792035,0.761062,0.58536,96,0.184549,0.2103,36,20242025,28.92682,29.43902,Calgary Flames,20,5,,41,31,5
0.498233,82,220,2.68292,240,2.92682,33,7,0.857777,0.826667,0.55487,91,0.263888,0.282407,40,20242025,26.35365,28.09756,New Jersey Devils,1,9,,42,36,2
0.507995,82,261,3.18292,243,2.96341,31,11,0.844357,0.809339,0.55487,91,0.175213,0.200854,38,20242025,29.04878,25.56097,Montréal Canadiens,8,5,,40,30,2
0.488603,82,251,3.06097,233,2.84146,30,14,0.84375,0.825893,0.54878,90,0.193693,0.225225,35,20242025,26.80487,25.53658,Vancouver Canucks,23,5,,38,28,3
0.477787,82,267,3.25609,267,3.25609,33,9,0.811059,0.769586,0.54268,89,0.156756,0.194594,34,20242025,29.91463,29.04878,Columbus Blue Jackets,29,4,,40,30,6
